Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet [CoCA],Cost of a nutrient adequate diet [CoNA],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of fruits [CoHD_f],Cost of vegetables [CoHD_v],Cost of starchy staples [CoHD_ss],Cost of animal-source foods [CoHD_asf],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of oils and fats [CoHD_of],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Population [Pop]
Food Prices for Nutrition 1.1,FPN 1.1,Poland,POL,2020,YR2020,..,..,3.17,..,..,..,..,..,..,..,..,..,2.83,..,..,..,..,1,37899070
Food Prices for Nutrition 1.1,FPN 1.1,Portugal,PRT,2020,YR2020,..,..,2.656,..,..,..,..,..,..,..,..,..,2.371,..,..,..,..,0.5,10297081
Food Prices for Nutrition 1.1,FPN 1.1,Qatar,QAT,2020,YR2020,..,..,2.577,..,..,..,..,..,..,..,..,..,2.301,..,..,..,..,..,2760385
Food Prices for Nutrition 1.1,FPN 1.1,Romania,ROU,2020,YR2020,..,..,3.191,..,..,..,..,..,..,..,..,..,2.849,..,..,..,..,8.9,19265250
Food Prices for Nutrition 1.1,FPN 1.1,Russian Federation,RUS,2020,YR2020,..,..,3.42,..,..,..,..,..,..,..,..,..,3.054,..,..,..,..,2.9,144073139
Food Prices for Nutrition 1.1,FPN 1.1,Rwanda,RWA,2020,YR2020,..,..,2.698,..,..,..,..,..,..,..,..,..,2.409,..,..,..,..,83.6,13146362
Food Prices for Nutrition 1.1,FPN 1.1,Sao Tome and Principe,STP,2020,YR2020,..,..,3.551,..,..,..,..,..,..,..,..,..,3.171,..,..,..,..,77.1,218641
Food Prices for Nutrition 1.1,FPN 1.1,Saudi Arabia,SAU,2020,YR2020,..,..,4.148,..,..,..,..,..,..,..,..,..,3.704,..,..,..,..,..,35997107
Food Prices for Nutrition 1.1,FPN 1.1,Senegal,SEN,2020,YR2020,..,..,2.33,..,..,..,..,..,..,..,..,..,2.08,..,..,..,..,46.6,16436120
Food Prices for Nutrition 1.1,FPN 1.1,Serbia,SRB,2020,YR2020,..,..,4.246,..,..,..,..,..,..,..,..,..,3.791,..,..,..,..,14.8,6899126
Food Prices for Nutrition 1.1,FPN 1.1,Seychelles,SYC,2020,YR2020,..,..,3.801,..,..,..,..,..,..,..,..,..,3.394,..,..,..,..,6.8,98462
Food Prices for Nutrition 1.1,FPN 1.1,Sierra Leone,SLE,2020,YR2020,..,..,2.893,..,..,..,..,..,..,..,..,..,2.583,..,..,..,..,81.3,8233970
Food Prices for Nutrition 1.1,FPN 1.1,Singapore,SGP,2020,YR2020,..,..,3.064,..,..,..,..,..,..,..,..,..,2.736,..,..,..,..,..,5685807
Food Prices for Nutrition 1.1,FPN 1.1,Sint Maarten (Dutch part),SXM,2020,YR2020,..,..,5.36,..,..,..,..,..,..,..,..,..,4.786,..,..,..,..,..,42310
Food Prices for Nutrition 1.1,FPN 1.1,Slovak Republic,SVK,2020,YR2020,..,..,3.15,..,..,..,..,..,..,..,..,..,2.813,..,..,..,..,1.3,5458827
Food Prices for Nutrition 1.1,FPN 1.1,Slovenia,SVN,2020,YR2020,..,..,3.07,..,..,..,..,..,..,..,..,..,2.741,..,..,..,..,0.1,2102419
Food Prices for Nutrition 1.1,FPN 1.1,South Africa,ZAF,2020,YR2020,..,..,4.298,..,..,..,..,..,..,..,..,..,3.838,..,..,..,..,65.8,58801927
Food Prices for Nutrition 1.1,FPN 1.1,South Asia,SAS,2020,YR2020,..,..,3.842,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.2,1843559390
Food Prices for Nutrition 1.1,FPN 1.1,Spain,ESP,2020,YR2020,..,..,2.838,..,..,..,..,..,..,..,..,..,2.534,..,..,..,..,1.8,47365655
Food Prices for Nutrition 1.1,FPN 1.1,Sri Lanka,LKA,2020,YR2020,..,..,3.923,..,..,..,..,..,..,..,..,..,3.503,..,..,..,..,50.4,21919000
Food Prices for Nutrition 1.1,FPN 1.1,St. Kitts and Nevis,KNA,2020,YR2020,..,..,3.405,..,..,..,..,..,..,..,..,..,3.04,..,..,..,..,..,47642
Food Prices for Nutrition 1.1,FPN 1.1,St. Lucia,LCA,2020,YR2020,..,..,3.594,..,..,..,..,..,..,..,..,..,3.209,..,..,..,..,21.4,179237
Food Prices for Nutrition 1.1,FPN 1.1,St. Vincent and the Grenadines,VCT,2020,YR2020,..,..,4.454,..,..,..,..,..,..,..,..,..,3.977,..,..,..,..,..,104632
Food Prices for Nutrition 1.1,FPN 1.1,Sub-Saharan Africa,SSF,2020,YR2020,..,..,3.474,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.4,1111353950
Food Prices for Nutrition 1.1,FPN 1.1,Sudan,SDN,2020,YR2020,..,..,4.308,..,..,..,..,..,..,..,..,..,3.846,..,..,..,..,92.7,44440486
Food Prices for Nutrition 1.1,FPN 1.1,Suriname,SUR,2020,YR2020,..,..,5.739,..,..,..,..,..,..,..,..,..,5.124,..,..,..,..,45.2,607065
Food Prices for Nutrition 1.1,FPN 1.1,Sweden,SWE,2020,YR2020,..,..,3.339,..,..,..,..,..,..,..,..,..,2.981,..,..,..,..,0.7,10353442
Food Prices for Nutrition 1.1,FPN 1.1,Switzerland,CHE,2020,YR2020,..,..,2.659,..,..,..,..,..,..,..,..,..,2.374,..,..,..,..,0,8638167
Food Prices for Nutrition 1.1,FPN 1.1,"Taiwan, China",TWN,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Tajikistan,TJK,2020,YR2020,..,..,3.48,..,..,..,..,..,..,..,..,..,3.107,..,..,..,..,49.4,9543207
Food Prices for Nutrition 1.1,FPN 1.1,Tanzania,TZA,2020,YR2020,..,..,2.736,..,..,..,..,..,..,..,..,..,2.443,..,..,..,..,85,61704518
Food Prices for Nutrition 1.1,FPN 1.1,Thailand,THA,2020,YR2020,..,..,4.321,..,..,..,..,..,..,..,..,..,3.858,..,..,..,..,20.3,71475664
Food Prices for Nutrition 1.1,FPN 1.1,Togo,TGO,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Trinidad and Tobago,TTO,2020,YR2020,..,..,4.224,..,..,..,..,..,..,..,..,..,3.771,..,..,..,..,7.7,1518147
Food Prices for Nutrition 1.1,FPN 1.1,Tunisia,TUN,2020,YR2020,..,..,3.639,..,..,..,..,..,..,..,..,..,3.249,..,..,..,..,14.5,12161723
Food Prices for Nutrition 1.1,FPN 1.1,Türkiye,TUR,2020,YR2020,..,..,3.029,..,..,..,..,..,..,..,..,..,2.704,..,..,..,..,7.6,84135428
Food Prices for Nutrition 1.1,FPN 1.1,Turks and Caicos Islands,TCA,2020,YR2020,..,..,3.095,..,..,..,..,..,..,..,..,..,2.763,..,..,..,..,..,44276
Food Prices for Nutrition 1.1,FPN 1.1,Uganda,UGA,2020,YR2020,..,..,2.658,..,..,..,..,..,..,..,..,..,2.373,..,..,..,..,81.7,44404611
Food Prices for Nutrition 1.1,FPN 1.1,United Arab Emirates,ARE,2020,YR2020,..,..,3.111,..,..,..,..,..,..,..,..,..,2.778,..,..,..,..,0,9287289
Food Prices for Nutrition 1.1,FPN 1.1,United Kingdom,GBR,2020,YR2020,..,..,1.912,..,..,..,..,..,..,..,..,..,1.707,..,..,..,..,0.5,67081000
Food Prices for Nutrition 1.1,FPN 1.1,United States,USA,2020,YR2020,..,..,3.383,..,..,..,..,..,..,..,..,..,3.021,..,..,..,..,1.5,331501080
Food Prices for Nutrition 1.1,FPN 1.1,Upper middle income,UMC,2020,YR2020,..,..,3.762,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.7,2471650011
Food Prices for Nutrition 1.1,FPN 1.1,Uruguay,URY,2020,YR2020,..,..,3.414,..,..,..,..,..,..,..,..,..,3.048,..,..,..,..,3.7,3429086
Food Prices for Nutrition 1.1,FPN 1.1,Vietnam,VNM,2020,YR2020,..,..,4.072,..,..,..,..,..,..,..,..,..,3.636,..,..,..,..,23.1,96648685
Food Prices for Nutrition 1.1,FPN 1.1,West Bank and Gaza,PSE,2020,YR2020,..,..,3.356,..,..,..,..,..,..,..,..,..,2.996,..,..,..,..,15.1,4803269
Food Prices for Nutrition 1.1,FPN 1.1,World,WLD,2020,YR2020,..,..,3.537,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.9,7455671559
Food Prices for Nutrition 1.1,FPN 1.1,Zambia,ZMB,2020,YR2020,..,..,3.3,..,..,..,..,..,..,..,..,..,2.946,..,..,..,..,88.6,18927715
Food Prices for Nutrition 1.1,FPN 1.1,Zimbabwe,ZWE,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Food Prices for Nutrition,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/30/2023,,,,,,,,,,,,,,,,,,,,,,,,
Code,Indicator Name,Long definition,Source
CoCA,Cost of an energy sufficient diet,"Cost of the least expensive starchy staple for energy balance, in 2017 PPP$/person/day, for a representative person at 2330 kcal/day. Data available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoNA,Cost of a nutrient adequate diet,"Cost of the least expensive locally-available foods for nutrient adequacy, in 2017 PPP$/person/day, for a representative person within upper and lower bounds for 23 essential macro- and micronutrients plus energy balance at 2330 kcal/day. Data available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD,Cost of a healthy diet,"The cost of a healthy diet indicator is the cost of purchasing the least expensive locally available foods to meet requirements for energy and food-based dietary guidelines (FBDGs), in current PPP$/person/day, for a representative person within energy balance at 2330 kcal/day. Data available for 2017, 2018, 2019 and 2020. PPPs for 2018 and/or 2019 and/or 2020 are imputed by the Food and Agriculture Organization of the United Nations when not available in the World Development Indicators database, for the given countries of Angola, Aruba, Belize, Bermuda, Cayman Islands, Curaçao, British Virgin Islands, Democratic Republic of the Congo, Eswatini, Ethiopia, Guinea-Bissau, Iran (Islamic Republic of), Liberia, Myanmar, Niger, Nigeria, Sao Tome and Principe, Sint Maarten, Suriname and Tajikistan.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_CoCA,Cost of a healthy diet relative to the cost of sufficient energy from starchy staples,Ratio between the cost of a healthy diet (CoHD) that meets requirements for energy and food-based dietary guidelines (FBDGs) and the cost of caloric adequacy (CoCA) that uses only starchy staples to meet energy requirements. Data available for 2017.,"Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_f,Cost of fruits,"The cost of purchasing the least expensive locally available fruits to meet daily intake levels recommended in food-based dietary guidelines (FBDGs), in 2017 PPP$/person/day. Fruits are one of the six food groups within the Healthy Diet Basket. Data available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_v,Cost of vegetables,"The cost of purchasing the least expensive locally available vegetables to meet daily intake levels recommended in food-based dietary guidelines (FBDGs), in 2017 PPP$/person/day. Vegetables are one of the six food groups within the Healthy Diet Basket. Data available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_ss,Cost of starchy staples,"The cost of purchasing the least expensive locally available starchy staples to meet daily intake levels recommended in food-based dietary guidelines (FBDGs), in 2017 PPP$/person/day. Starchy staples are one of the six food groups within the Healthy Diet Basket. Data available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_asf,Cost of animal-source foods,"The cost of purchasing the least expensive locally available animal-source foods to meet daily intake levels recommended in food-based dietary guidelines (FBDGs), in 2017 PPP$/person/day. Animal-source foods are one of the six food groups within the Healthy Diet Basket. Data available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_lns,"Cost of legumes, nuts and seeds","The cost of purchasing the least expensive locally available legumes, nuts and seeds to meet daily intake levels recommended in food-based dietary guidelines (FBDGs), in 2017 PPP$/person/day. Legumes, nuts and seeds are one of the six food groups within the Healthy Diet Basket. Data available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_of,Cost of oils and fats,"The cost of purchasing the least expensive locally available fats or oils to meet daily intake levels recommended in food-based dietary guidelines (FBDGs), in 2017 PPP$/person/day. Fats and oils are one of the six food groups within the Healthy Diet Basket. Data available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoCA_pov,Affordability of an energy sufficient diet: ratio of cost to the food poverty line,The ratio of the cost of an energy sufficient diet to the $1.12 food poverty line (52% of the international poverty line of 2.15/day in 2017 PPP$). Data available for 2017.,"Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoNA_pov,Affordability of a nutrient adequate diet: ratio of cost to the food poverty line,The ratio of the cost of a nutrient adequate diet to the $1.12 food poverty line (52% of the international poverty line of 2.15/day in 2017 PPP$). Data available for 2017.,"Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_pov,Affordability of a healthy diet: ratio of cost to the food poverty line,"The ratio of the cost of a healthy diet to the $1.12 food poverty line (52% of the international poverty line of 2.15/day in 2017 PPP$). Data available for 2017, 2018, 2019 and 2020.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoCA_fexp,Affordability of an energy sufficient diet: ratio of cost to food expenditures,The ratio of the cost of an energy sufficient diet to total food expenditure per capita per day from national accounts. Data available for 2017.,"Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoNA_fexp,Affordability of a nutrient adequate diet: ratio of cost to food expenditures,The ratio of the cost of a nutrient adequate diet to total food expenditure per capita per day from national accounts. Data available for 2017.,"Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoCA_headcount,Percent of the population unable to afford sufficient calories,"The indicator expresses the percentage of the total population unable to afford an energy sufficient diet. A healthy diet is considered unaffordable in a country when its cost exceeds 52 percent of household income. This percentage accounts for a portion of income that can be credibly reserved for food, based on observations that the population in low-income countries spend, on average, 52 percent of their income on food, as derived from the 2017 national accounts household expenditure data of the World Bank's International Comparison Programme (ICP). Income data are provided by the World Bank’s Poverty and Inequality Platform. A value of zero indicates a null or a small number rounded down at the current precision level. Data are currently available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoNA_headcount,Percent of the population unable to afford nutrient adequacy,"The indicator expresses the percentage of the total population unable to afford a nutrient adequate diet. A healthy diet is considered unaffordable in a country when its cost exceeds 52 percent of household income. This percentage accounts for a portion of income that can be credibly reserved for food, based on observations that the population in low-income countries spend, on average, 52 percent of their income on food, as derived from the 2017 national accounts household expenditure data of the World Bank's International Comparison Programme (ICP). Income data are provided by the World Bank’s Poverty and Inequality Platform. A value of zero indicates a null or a small number rounded down at the current precision level. Data are currently available for 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
CoHD_headcount,Percent of the population unable to afford a healthy diet,"The indicator expresses the percentage of the total population unable to afford a healthy diet. A healthy diet is considered unaffordable in a country when its cost exceeds 52 percent of household income. This percentage accounts for a portion of income that can be credibly reserved for food, based on observations that the population in low-income countries spend, on average, 52 percent of their income on food, as derived from the 2017 national accounts household expenditure data of the World Bank's International Comparison Programme (ICP). Income data are provided by the World Bank’s Poverty and Inequality Platform. A value of zero indicates a null or a small number rounded down at the current precision level. Data are currently available for 2017, 2018, 2019 and 2020.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO."
Pop,Population,"Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship. The values shown are midyear estimates.","(1) United Nations Population Division. World Population Prospects: 2022 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
